Order_ID,Product,Vendor,Region,Country,Shipment_Mode,Order_Value_USD,Country_Risk_Index,Risk_Reason_Geo,Natural_Disaster_Risk,Climate_Zone_Detail,Supplier_Credit_Rating,Financial_Risk_Reason,DPO_Impact_Days,Cost_Competitiveness,Is_Late,Delay_Days,Delay_Root_Cause,Order_Accuracy_Rate,Capacity_Utilization,Defect_Rate,Defect_Flag,Defect_Root_Cause,Audit_Status,Regulatory_Compliance,ESG_Score,Responsiveness_Score,Innovation_Index,Collaboration_Index,Relationship_Issue
PO-20240000,Industrial Machinery,Euro_Ind_3,Region_EU_Central,Sweden,Sea,163672,24,None,Low,Safe Zone,A,Stable,54,104,0,0,On Time,100,26,0.023550312428804114,0,Perfect,Certified,Pass,88,77,6.1,4.1,Good Standing
PO-20240001,Coffee Beans,LatAm_Logistics_4,Region_LatAm_South,Brazil,Sea,185704,80,Trade Tariffs,High,Earthquake Fault,A,Stable,31,98,0,0,On Time,98,40,0.006858412516986318,0,Perfect,Certified,Pass,92,97,1.8,8.3,Good Standing
PO-20240002,Textiles,LatAm_Logistics_4,Region_LatAm_South,Peru,Sea,410239,78,Trade Tariffs,High,Monsoon Region,AAA,Stable,81,101,0,0,On Time,99,50,0.02055425377521935,0,Perfect,Certified,Pass,43,81,2.8,9.1,Good Standing
PO-20240003,Soybeans,LatAm_Logistics_3,Region_LatAm_South,Argentina,Air,225333,77,Sanctions,High,Wildfire Zone,BBB,Stable,50,93,1,6,Raw Material Shortage,96,80,0.021439512764413762,0,Perfect,Certified,Pass,46,87,9.0,3.7,Management Change
PO-20240004,Wine/Beverage,Euro_Ind_3,Region_EU_Central,France,Sea,20569,16,None,Low,Safe Zone,A,Stable,56,104,0,0,On Time,95,68,0.017029276101819178,0,Perfect,Certified,Pass,76,86,2.9,3.5,Management Change
PO-20240005,Cocoa Beans,Afro_Trade_2,Region_Africa_West,Ivory Coast,Sea,188602,92,Border Closure,High,Earthquake Fault,A,Stable,65,105,1,15,Labor Strike,95,65,0.014231261099203566,0,Perfect,Certified,Pass,88,95,9.5,3.2,Lack of Transparency
PO-20240006,Textiles,Asia_Tech_3,Region_Asia_Pacific,Vietnam,Sea,102139,35,None,Low,Safe Zone,AA,Stable,79,94,0,0,On Time,98,66,0.00021181864435400045,0,Perfect,Certified,Pass,72,80,1.4,1.9,Contract Dispute
PO-20240007,Copper,LatAm_Logistics_2,Region_LatAm_South,Chile,Air,10759,56,None,Low,Safe Zone,C,High Debt Ratio,49,95,0,0,On Time,98,69,0.014075866765054752,0,Perfect,Certified,Pass,73,92,2.6,7.0,Good Standing
PO-20240008,Fish/Seafood,Afro_Trade_1,Region_Africa_West,Senegal,Air,393513,84,Port Strike,High,Monsoon Region,C,Credit Downgrade,57,104,1,20,Port Congestion,99,46,0.022791403694893103,0,Perfect,Certified,Pass,78,75,7.4,2.0,Contract Dispute
PO-20240009,Plastic Resins,Asia_Tech_2,Region_Asia_Pacific,China,Sea,458759,31,None,Low,Safe Zone,AAA,Stable,87,99,0,0,On Time,100,61,0.03989945055332045,1,Color Mismatch,Pending,Pass,47,88,3.8,4.2,Good Standing
